Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"sendKeys(findTestObject(""Web RoomMe.id/Search Kost Menu/Textfield Input Location""), ""jakarta"")",Firefox 75.0,,,2020-04-27 02:32:13,2020-04-27 02:32:15,2.070s,PASSED
"click(findTestObject(""Web RoomMe.id/Search Kost Menu/Text Location Suggestion""))",Firefox 75.0,,,2020-04-27 02:32:15,2020-04-27 02:32:16,1.393s,PASSED
"click(findTestObject(""Web RoomMe.id/Search Kost Menu/Datepicker Check-in""))",Firefox 75.0,,,2020-04-27 02:32:16,2020-04-27 02:32:17,0.555s,PASSED
"click(findTestObject(""Object Repository/Web RoomMe.id/Search Kost Menu/Day Pick""))",Firefox 75.0,,,2020-04-27 02:32:17,2020-04-27 02:32:18,0.884s,PASSED
"click(findTestObject(""Object Repository/Web RoomMe.id/Search Kost Menu/Button Duration""))",Firefox 75.0,,,2020-04-27 02:32:18,2020-04-27 02:32:19,0.851s,PASSED
"click(findTestObject(""Web RoomMe.id/Search Kost Menu/Button 2 Months""))",Firefox 75.0,,,2020-04-27 02:32:19,2020-04-27 02:32:19,0.546s,PASSED
"click(findTestObject(""Object Repository/Web RoomMe.id/Search Kost Menu/Button Additional""))",Firefox 75.0,,,2020-04-27 02:32:19,2020-04-27 02:32:20,0.519s,PASSED
"click(findTestObject(""Web RoomMe.id/Search Kost Menu/Button 1 Day""))",Firefox 75.0,,,2020-04-27 02:32:20,2020-04-27 02:32:20,0.576s,PASSED
"click(findTestObject(""Object Repository/Web RoomMe.id/Search Kost Menu/Button Search""))",Firefox 75.0,,,2020-04-27 02:32:20,2020-04-27 02:32:23,2.152s,PASSED
"verifyElementVisible(findTestObject(""Web RoomMe.id/Search Result Menu/Field Facilities""))",Firefox 75.0,,,2020-04-27 02:32:23,2020-04-27 02:32:23,0.001s,NOT_RUN
"verifyElementVisible(findTestObject(""Web RoomMe.id/Search Result Menu/Text Nama Kost""))",Firefox 75.0,,,2020-04-27 02:32:23,2020-04-27 02:32:23,0.000s,NOT_RUN
"verifyElementVisible(findTestObject(""Web RoomMe.id/Search Result Menu/div_Submit_col-md-4 img-s""))",Firefox 75.0,,,2020-04-27 02:32:23,2020-04-27 02:32:23,0.001s,NOT_RUN
"verifyElementVisible(findTestObject(""Web RoomMe.id/Search Result Menu/div_Rp1400000""))",Firefox 75.0,,,2020-04-27 02:32:23,2020-04-27 02:32:23,0.001s,NOT_RUN
"verifyElementVisible(findTestObject(""Web RoomMe.id/Search Result Menu/Image Kost""))",Firefox 75.0,,,2020-04-27 02:32:23,2020-04-27 02:32:23,0.001s,NOT_RUN
waitForPageLoad(0),Firefox 75.0,,,2020-04-27 02:32:23,2020-04-27 02:32:23,0.025s,PASSED
,,,,,,,
Test Cases/Web RoomMe.id/8. Search for Kost/6. Customer Search For Kost 2 Months 2 Days,Firefox 75.0,,,2020-04-27 02:32:23,2020-04-27 02:32:52,29.574s,PASSED
"callTestCase(findTestCase(""Web RoomMe.id/1. Homepage/1. Customer Access RoomMe Page""), [:], STOP_ON_FAILURE)",Firefox 75.0,,,2020-04-27 02:32:23,2020-04-27 02:32:43,20.299s,PASSED
"sendKeys(findTestObject(""Web RoomMe.id/Search Kost Menu/Textfield Input Location""), ""jakarta"")",Firefox 75.0,,,2020-04-27 02:32:43,2020-04-27 02:32:45,1.512s,PASSED
"click(findTestObject(""Web RoomMe.id/Search Kost Menu/Text Location Suggestion""))",Firefox 75.0,,,2020-04-27 02:32:45,2020-04-27 02:32:46,1.262s,PASSED
"click(findTestObject(""Web RoomMe.id/Search Kost Menu/Datepicker Check-in""))",Firefox 75.0,,,2020-04-27 02:32:46,2020-04-27 02:32:47,0.658s,PASSED
"click(findTestObject(""Object Repository/Web RoomMe.id/Search Kost Menu/Day Pick""))",Firefox 75.0,,,2020-04-27 02:32:47,2020-04-27 02:32:47,0.866s,PASSED
"click(findTestObject(""Object Repository/Web RoomMe.id/Search Kost Menu/Button Duration""))",Firefox 75.0,,,2020-04-27 02:32:47,2020-04-27 02:32:48,0.813s,PASSED
"click(findTestObject(""Web RoomMe.id/Search Kost Menu/Button 2 Months""))",Firefox 75.0,,,2020-04-27 02:32:48,2020-04-27 02:32:49,0.556s,PASSED
"click(findTestObject(""Object Repository/Web RoomMe.id/Search Kost Menu/Button Additional""))",Firefox 75.0,,,2020-04-27 02:32:49,2020-04-27 02:32:49,0.505s,PASSED
"click(findTestObject(""Web RoomMe.id/Search Kost Menu/Button 2 Days""))",Firefox 75.0,,,2020-04-27 02:32:49,2020-04-27 02:32:50,0.559s,PASSED
"click(findTestObject(""Object Repository/Web RoomMe.id/Search Kost Menu/Button Search""))",Firefox 75.0,,,2020-04-27 02:32:50,2020-04-27 02:32:52,2.277s,PASSED
"verifyElementVisible(findTestObject(""Web RoomMe.id/Search Result Menu/Field Facilities""))",Firefox 75.0,,,2020-04-27 02:32:52,2020-04-27 02:32:52,0.000s,NOT_RUN
"verifyElementVisible(findTestObject(""Web RoomMe.id/Search Result Menu/Text Nama Kost""))",Firefox 75.0,,,2020-04-27 02:32:52,2020-04-27 02:32:52,0.001s,NOT_RUN
"verifyElementVisible(findTestObject(""Web RoomMe.id/Search Result Menu/div_Submit_col-md-4 img-s""))",Firefox 75.0,,,2020-04-27 02:32:52,2020-04-27 02:32:52,0.001s,NOT_RUN
"verifyElementVisible(findTestObject(""Web RoomMe.id/Search Result Menu/div_Rp1400000""))",Firefox 75.0,,,2020-04-27 02:32:52,2020-04-27 02:32:52,0.000s,NOT_RUN
"verifyElementVisible(findTestObject(""Web RoomMe.id/Search Result Menu/Image Kost""))",Firefox 75.0,,,2020-04-27 02:32:52,2020-04-27 02:32:52,0.001s,NOT_RUN
waitForPageLoad(0),Firefox 75.0,,,2020-04-27 02:32:52,2020-04-27 02:32:52,0.027s,PASSED
